"","State","State.Code","Region","Division","GEOID","medIncomeE","medIncomeM","giniE","giniM","rentE","rentM","rentPercE","rentPercM","ownPercE","ownPercM","mortPercE","mortPercM","noMortPercE","noMortPercM","Year"
"443","New Mexico","NM","West","Mountain","35",43872,950,0.4759,0.0064,772,16,30.8,1.1,17.1,0.3,22.5,0.4,10,NA,2013
"444","New Mexico","NM","West","Mountain","35",43028,1033,0.453,0.007,680,11,28.8,0.8,18.3,0.4,23.4,0.5,9.5,0.3,2009
"445","New Mexico","NM","West","Mountain","35",44803,849,0.477,0.0071,777,17,30.7,1,17.2,0.3,22.4,0.5,10,NA,2014
"446","New Mexico","NM","West","Mountain","35",46744,1195,0.4776,0.0069,813,18,29.6,0.7,16.4,0.4,21.6,0.5,10,NA,2017
"447","New Mexico","NM","West","Mountain","35",51945,969,0.4768,0.007,847,14,28.4,1.1,15.8,0.4,21.1,0.5,9,NA,2019
"448","New Mexico","NM","West","Mountain","35",47169,900,0.4891,0.0079,830,15,29.7,0.9,16.3,0.4,21.9,0.5,9,NA,2018
"449","New York","NY","Northeast","Middle Atlantic","36",51384,255,0.495,0.003,875,4,30.5,0.3,23.2,0.2,26.4,0.2,15.7,0.2,2006
"450","New York","NY","Northeast","Middle Atlantic","36",54659,396,0.502,0.003,984,6,30.9,0.2,22.8,0.2,26.1,0.2,15.5,0.3,2009
"451","New York","NY","Northeast","Middle Atlantic","36",58878,393,0.5111,0.0027,1148,5,32.5,0.3,21.2,0.1,24.5,0.2,14.6,0.2,2014
"452","New York","NY","Northeast","Middle Atlantic","36",56448,371,0.5009,0.0028,1079,6,31.9,0.3,22.2,0.1,25.3,0.3,15.1,0.2,2012
"453","New York","NY","Northeast","Middle Atlantic","36",55246,398,0.5033,0.0031,1058,5,32.5,0.2,22.7,0.2,26.3,0.2,15.3,0.3,2011
"454","New York","NY","Northeast","Middle Atlantic","36",57369,431,0.5098,0.0035,1109,6,32.1,0.3,21.2,0.2,24.6,0.2,14.5,0.2,2013
"455","New York","NY","Northeast","Middle Atlantic","36",53514,349,0.5,0.003,907,6,30.2,0.3,22.8,0.2,26.4,0.2,15.2,0.3,2007
"456","New York","NY","Northeast","Middle Atlantic","36",64894,507,0.5157,0.0031,1226,8,31.5,0.3,19.5,0.2,22.9,0.2,13.4,0.2,2017
"457","New York","NY","Northeast","Middle Atlantic","36",62909,631,0.5129,0.0023,1194,7,31.6,0.3,19.6,0.2,23.1,0.2,13.5,0.2,2016
"458","New York","NY","Northeast","Middle Atlantic","36",56033,380,0.503,0.003,953,5,30.3,0.3,22.9,0.2,26.3,0.3,15.3,0.2,2008
"459","New York","NY","Northeast","Middle Atlantic","36",54148,376,0.499,0.003,1020,6,31.7,0.3,22.9,0.2,26.3,0.3,15.5,0.3,2010
"460","New York","NY","Northeast","Middle Atlantic","36",60850,306,0.5138,0.0029,1173,7,31.9,0.3,20.6,0.2,24.1,0.2,14,0.2,2015
"461","New York","NY","Northeast","Middle Atlantic","36",67844,637,0.513,0.0028,1274,8,31.1,0.3,19.4,0.2,22.7,0.2,13.6,0.3,2018
"462","New York","NY","Northeast","Middle Atlantic","36",72108,452,0.5149,0.0026,1309,9,30.1,0.3,18.6,0.2,22.1,0.2,12.8,0.2,2019
"463","North Carolina","NC","South","South Atlantic","37",44670,432,0.465,0.003,678,6,28.8,0.5,19.7,0.2,22.9,0.3,11.6,0.2,2007
"464","North Carolina","NC","South","South Atlantic","37",46549,423,0.463,0.004,694,5,28.4,0.4,19.8,0.2,23.1,0.2,11.3,0.2,2008
"465","North Carolina","NC","South","South Atlantic","37",43674,375,0.464,0.004,720,5,30.5,0.5,20,0.2,23.4,0.2,11.8,0.2,2009
"466","North Carolina","NC","South","South Atlantic","37",50584,292,0.478,0.0041,839,5,28.7,0.3,17.2,0.2,20.2,0.2,10.5,0.2,2016
"467","North Carolina","NC","South","South Atlantic","37",43326,370,0.464,0.004,731,5,31.3,0.4,20.6,0.2,24,0.2,12.5,0.2,2010
"468","North Carolina","NC","South","South Atlantic","37",52752,510,0.4763,0.0032,861,6,28.5,0.3,16.7,0.2,19.6,0.2,10.1,0.2,2017
"469","North Carolina","NC","South","South Atlantic","37",57341,611,0.4743,0.0034,931,8,28.4,0.4,16.3,0.2,19.3,0.1,9,NA,2019
"470","North Carolina","NC","South","South Atlantic","37",45906,424,0.4765,0.0036,778,5,30,0.4,18.3,0.2,21.6,0.2,11.3,0.2,2013
"471","North Carolina","NC","South","South Atlantic","37",43916,519,0.4716,0.0037,745,7,31.8,0.5,20.1,0.3,23.5,0.3,12.3,0.2,2011
"472","North Carolina","NC","South","South Atlantic","37",47830,521,0.4776,0.0036,827,6,29.7,0.3,17.9,0.1,21,0.2,11.4,0.3,2015
"473","North Carolina","NC","South","South Atlantic","37",53855,573,0.4782,0.0042,900,8,29,0.4,16.8,0.2,19.7,0.2,10.6,0.3,2018
"474","North Carolina","NC","South","South Atlantic","37",42625,440,0.458,0.003,656,4,28.9,0.4,19.8,0.2,23.1,0.2,11.9,0.2,2006
"475","North Carolina","NC","South","South Atlantic","37",46556,381,0.4748,0.0032,803,6,30.4,0.4,18.4,0.2,21.5,0.2,11.8,0.2,2014
"476","North Carolina","NC","South","South Atlantic","37",45150,391,0.4691,0.0033,756,5,29.8,0.4,19,0.1,22.3,0.2,11.7,0.2,2012
"477","North Dakota","ND","Midwest","West North Central","38",51704,1260,0.4448,0.0101,626,21,26.4,1.3,15.6,0.5,19.2,0.5,10,0.5,2011
"478","North Dakota","ND","Midwest","West North Central","38",61843,1052,0.4546,0.0105,785,19,24.9,1.3,14.7,0.4,18.8,0.5,10,NA,2017
"479","North Dakota","ND","Midwest","West North Central","38",64577,3011,0.4558,0.0104,804,22,24.1,1,14.3,0.4,18.4,0.5,9,NA,2019
"480","North Dakota","ND","Midwest","West North Central","38",55759,1452,0.455,0.0086,690,17,25.9,1.2,14.5,0.5,18.5,0.4,10,NA,2013
"481","North Dakota","ND","Midwest","West North Central","38",48670,1575,0.433,0.011,583,12,25.8,1.1,15.9,0.4,19.6,0.4,10,NA,2010
"482","North Dakota","ND","Midwest","West North Central","38",47827,995,0.45,0.013,564,14,24.8,1.1,16.1,0.4,19.7,0.4,10.3,0.5,2009
"483","North Dakota","ND","Midwest","West North Central","38",60656,1528,0.4533,0.0122,776,17,24.9,1.2,14.1,0.3,18.2,0.5,10,NA,2016
"484","North Dakota","ND","Midwest","West North Central","38",45685,974,0.451,0.014,534,13,24,0.8,16.9,0.4,20.7,0.7,11.2,0.5,2008
"485","North Dakota","ND","Midwest","West North Central","38",63837,2324,0.4427,0.0117,808,19,24.6,0.9,14.8,0.4,18.8,0.4,9,NA,2018
"486","North Dakota","ND","Midwest","West North Central","38",53585,1546,0.4597,0.0105,644,14,24,0.9,14.8,0.4,18.9,0.4,10,NA,2012
"487","North Dakota","ND","Midwest","West North Central","38",41919,1000,0.434,0.012,497,13,25.8,1.3,17.3,0.4,21,0.5,11.5,0.5,2006
"488","North Dakota","ND","Midwest","West North Central","38",59029,1681,0.4664,0.011,728,12,25.3,1.2,14,0.4,18.1,0.4,10,NA,2014
"489","North Dakota","ND","Midwest","West North Central","38",60557,1661,0.4664,0.012,775,16,24.7,1,14.1,0.4,18.2,0.4,10,NA,2015
"490","North Dakota","ND","Midwest","West North Central","38",43753,1205,0.44,0.012,516,11,25.8,1.1,17.1,0.4,20.6,0.5,11.6,0.5,2007
"491","Ohio","OH","Midwest","East North Central","39",52334,275,0.468,0.0034,759,4,27.9,0.3,16.9,0.1,19.4,0.2,11.4,0.2,2016
"492","Ohio","OH","Midwest","East North Central","39",47988,317,0.45,0.003,667,5,29.1,0.3,20.6,0.1,23.3,0.2,13.1,0.2,2008
"493","Ohio","OH","Midwest","East North Central","39",49308,363,0.4637,0.0025,735,4,29.2,0.3,17.9,0.1,20.5,0.2,12.3,0.2,2014
"494","Ohio","OH","Midwest","East North Central","39",46829,293,0.4615,0.0029,700,4,29.7,0.3,18.8,0.2,21.7,0.2,12.4,0.2,2012
"495","Ohio","OH","Midwest","East North Central","39",51075,233,0.4637,0.0034,746,4,28.6,0.3,17.5,0.1,19.9,0.2,12,0.2,2015
"496","Ohio","OH","Midwest","East North Central","39",44532,352,0.449,0.004,627,4,29.3,0.4,21,0.1,23.6,0.1,13.8,0.2,2006
"497","Ohio","OH","Midwest","East North Central","39",56111,425,0.4667,0.003,797,6,27.6,0.3,16.6,0.2,19.1,0.2,11.5,0.2,2018
"498","Ohio","OH","Midwest","East North Central","39",46597,304,0.448,0.003,643,5,29.5,0.3,20.5,0.1,23.3,0.2,13,0.2,2007
"499","Ohio","OH","Midwest","East North Central","39",48081,406,0.4652,0.0031,709,4,29.3,0.4,18.1,0.2,21,0.2,11.9,0.2,2013
"500","Ohio","OH","Midwest","East North Central","39",45090,294,0.452,0.003,685,4,31.1,0.4,20.4,0.2,23.4,0.2,13.1,0.2,2010
"501","Ohio","OH","Midwest","East North Central","39",45395,350,0.453,0.003,670,4,30,0.4,20.4,0.2,23.3,0.2,13.1,0.2,2009
"502","Ohio","OH","Midwest","East North Central","39",45749,319,0.4594,0.0027,692,4,31,0.5,19.9,0.2,22.8,0.2,13.1,0.2,2011
"503","Ohio","OH","Midwest","East North Central","39",58642,563,0.4651,0.0033,813,6,27.2,0.3,15.9,0.2,18.5,0.1,10.9,0.2,2019
"504","Ohio","OH","Midwest","East North Central","39",54021,411,0.4642,0.0032,772,5,27.5,0.4,16.5,0.2,19,0.2,11.3,0.2,2017
"505","Oklahoma","OK","South","West South Central","40",49176,625,0.4645,0.0046,744,7,27.5,0.4,15.7,0.2,19.6,0.3,10,0.2,2016
"506","Oklahoma","OK","South","West South Central","40",42072,407,0.454,0.005,659,9,28.9,0.5,18,0.2,21.9,0.3,11.2,0.3,2010
"507","Oklahoma","OK","South","West South Central","40",41567,395,0.463,0.006,588,7,27.5,0.5,17.6,0.2,21.1,0.3,10.7,0.3,2007
"508","Oklahoma","OK","South","West South Central","40",42822,713,0.458,0.005,614,7,27.6,0.6,17.5,0.3,21.2,0.3,10.7,0.2,2008
"509","Oklahoma","OK","South","West South Central","40",43225,607,0.4613,0.0042,675,8,29.3,0.5,17.9,0.2,21.8,0.3,11.5,0.2,2011
"510","Oklahoma","OK","South","West South Central","40",47529,454,0.466,0.0042,737,8,27.6,0.5,16.2,0.2,20,0.2,10.6,0.2,2014
"511","Oklahoma","OK","South","West South Central","40",44312,462,0.4643,0.0056,686,6,28.9,0.5,17,0.3,20.8,0.3,10.7,0.2,2012
"512","Oklahoma","OK","South","West South Central","40",41664,502,0.46,0.005,636,9,28.5,0.6,17,0.2,20.7,0.3,10.6,0.3,2009
"513","Oklahoma","OK","South","West South Central","40",45690,534,0.4619,0.0048,705,7,27.8,0.4,16.2,0.2,20.1,0.3,10.4,0.2,2013
"514","Oklahoma","OK","South","West South Central","40",38770,649,0.46,0.006,580,6,28.6,0.6,17.9,0.3,21.4,0.3,12,0.3,2006
"515","Oklahoma","OK","South","West South Central","40",51924,450,0.4687,0.005,808,8,26.9,0.5,15.6,0.2,19.3,0.2,10.5,0.2,2018
"516","Oklahoma","OK","South","West South Central","40",54449,599,0.4739,0.004,814,10,27.2,0.5,15.1,0.2,18.9,0.2,9,NA,2019
"517","Oklahoma","OK","South","West South Central","40",48568,514,0.4702,0.0045,759,7,27.6,0.4,16,0.2,19.9,0.2,10.2,0.2,2015
"518","Oklahoma","OK","South","West South Central","40",50051,575,0.4658,0.004,780,7,27.9,0.5,15.7,0.2,19.8,0.3,10.2,0.3,2017
"519","Oregon","OR","West","Pacific","41",48457,623,0.443,0.005,819,10,30.9,0.7,23.2,0.3,27,0.3,12.8,0.3,2009
"520","Oregon","OR","West","Pacific","41",63426,1056,0.4582,0.0053,1130,13,29.8,0.6,19.2,0.3,22.8,0.3,11.7,0.4,2018
"521","Oregon","OR","West","Pacific","41",46230,503,0.444,0.005,714,7,29.9,0.6,22.6,0.3,26.1,0.3,12.4,0.3,2006
"522","Oregon","OR","West","Pacific","41",48730,681,0.442,0.005,743,8,29.1,0.6,22.8,0.3,26.6,0.3,12.1,0.3,2007
"523","Oregon","OR","West","Pacific","41",49161,807,0.4565,0.0048,862,8,32.1,0.7,22,0.3,25.6,0.3,12.7,0.3,2012
"524","Oregon","OR","West","Pacific","41",50169,523,0.447,0.005,780,7,30.1,0.7,23,0.3,26.9,0.4,12.6,0.3,2008
"525","Oregon","OR","West","Pacific","41",46560,542,0.449,0.005,816,7,32.7,0.6,23.2,0.3,27.3,0.4,12.9,0.3,2010
"526","Oregon","OR","West","Pacific","41",57532,855,0.4583,0.005,1015,14,30.7,0.7,19.5,0.3,22.7,0.3,11.8,0.3,2016
"527","Oregon","OR","West","Pacific","41",54148,912,0.4622,0.0046,943,9,30.8,0.7,19.8,0.2,23.3,0.2,11.9,0.3,2015
"528","Oregon","OR","West","Pacific","41",46816,711,0.4586,0.0069,840,9,32.9,0.7,23,0.3,26.7,0.4,13.1,0.3,2011
"529","Oregon","OR","West","Pacific","41",67058,873,0.45,0.0052,1185,14,29.4,0.4,19.1,0.3,22.4,0.4,11.6,0.3,2019
"530","Oregon","OR","West","Pacific","41",51075,490,0.4624,0.0051,924,10,32.6,0.5,20.3,0.3,23.8,0.3,12.2,0.3,2014
"531","Oregon","OR","West","Pacific","41",50251,532,0.46,0.0059,887,8,31.9,0.6,21,0.3,24.2,0.3,12.4,0.3,2013
"532","Oregon","OR","West","Pacific","41",60212,796,0.4593,0.0058,1079,12,30.9,0.6,19.9,0.3,23,0.3,12.5,0.3,2017
"533","Pennsylvania","PA","Northeast","Middle Atlantic","42",60905,315,0.4747,0.0025,927,7,29.1,0.4,17.6,0.1,20.1,0.2,12.6,0.2,2018
"534","Pennsylvania","PA","Northeast","Middle Atlantic","42",50713,260,0.457,0.003,726,6,28.8,0.3,20.7,0.2,23.8,0.2,13.9,0.1,2008
"535","Pennsylvania","PA","Northeast","Middle Atlantic","42",50228,292,0.4611,0.0024,786,5,30.8,0.4,20.4,0.1,23.7,0.2,14.1,0.2,2011
"536","Pennsylvania","PA","Northeast","Middle Atlantic","42",56907,360,0.4689,0.0026,881,5,28.7,0.3,17.8,0.2,20.6,0.2,12.7,0.2,2016
"537","Pennsylvania","PA","Northeast","Middle Atlantic","42",48576,297,0.46,0.003,685,5,28.8,0.3,20.5,0.2,23.8,0.2,13.8,0.2,2007
"538","Pennsylvania","PA","Northeast","Middle Atlantic","42",63463,429,0.4745,0.0031,951,7,28.6,0.3,16.8,0.2,19.6,0.1,11.6,0.2,2019
"539","Pennsylvania","PA","Northeast","Middle Atlantic","42",52007,256,0.4696,0.0025,828,5,30.2,0.4,18.8,0.1,21.9,0.2,13.1,0.2,2013
"540","Pennsylvania","PA","Northeast","Middle Atlantic","42",53234,420,0.4686,0.0026,848,6,30.5,0.4,18.7,0.2,21.8,0.2,13.2,0.2,2014
"541","Pennsylvania","PA","Northeast","Middle Atlantic","42",51230,265,0.4642,0.0021,798,5,30,0.3,19.4,0.2,22.6,0.1,13.5,0.1,2012
"542","Pennsylvania","PA","Northeast","Middle Atlantic","42",55702,377,0.4685,0.0025,868,5,29.6,0.3,18.4,0.1,21.3,0.2,12.9,0.2,2015
"543","Pennsylvania","PA","Northeast","Middle Atlantic","42",49288,433,0.461,0.003,763,6,30.4,0.4,20.3,0.2,23.8,0.2,13.7,0.2,2010
"544","Pennsylvania","PA","Northeast","Middle Atlantic","42",49520,286,0.46,0.003,738,5,29.2,0.3,20.4,0.1,23.7,0.2,13.7,0.2,2009
"545","Pennsylvania","PA","Northeast","Middle Atlantic","42",59195,443,0.4777,0.0025,893,5,28.8,0.3,17.6,0.2,20.1,0.2,12.4,0.2,2017
"546","Pennsylvania","PA","Northeast","Middle Atlantic","42",46259,290,0.455,0.003,664,5,28.7,0.3,20.7,0.1,23.7,0.2,14.3,0.2,2006
"547","Rhode Island","RI","Northeast","New England","44",60596,1591,0.4781,0.0097,948,17,29.4,0.8,20.9,0.6,23.3,0.6,14.4,0.6,2016
"548","Rhode Island","RI","Northeast","New England","44",58073,2421,0.4732,0.0094,938,13,29.4,0.7,21.3,0.5,23.5,0.5,14.6,0.6,2015
"549","Rhode Island","RI","Northeast","New England","44",54119,1522,0.457,0.011,890,23,30,0.9,25,0.6,27.6,0.6,16.4,1,2009
"550","Rhode Island","RI","Northeast","New England","44",54891,1488,0.4827,0.0095,934,16,31.3,1,22.1,0.4,24.5,0.5,15.4,0.8,2014
"551","Rhode Island","RI","Northeast","New England","44",54554,1789,0.4647,0.0082,878,15,30.3,0.9,23.3,0.5,25.4,0.7,16.2,1,2012
"552","Rhode Island","RI","Northeast","New England","44",53568,1353,0.457,0.009,830,14,30,0.9,24.6,0.5,27.4,0.6,15.5,0.8,2007
"553","Rhode Island","RI","Northeast","New England","44",55902,1902,0.4769,0.0107,918,16,31.2,1.2,21.7,0.5,24.5,0.6,14.8,0.7,2013
"554","Rhode Island","RI","Northeast","New England","44",52254,1244,0.467,0.009,868,14,30.9,1,25.2,0.5,27.7,0.6,15.4,1,2010
"555","Rhode Island","RI","Northeast","New England","44",53636,1699,0.4674,0.0111,875,17,30.4,1.1,24.6,0.5,26.9,0.6,17,1.1,2011
"556","Rhode Island","RI","Northeast","New England","44",63870,1861,0.4722,0.0099,941,19,28.5,0.8,20.8,0.6,23.1,0.5,13.7,0.6,2017
"557","Rhode Island","RI","Northeast","New England","44",71169,1559,0.4628,0.0096,1043,29,29.5,1.3,19.6,0.5,22.4,0.5,12.8,0.5,2019
"558","Rhode Island","RI","Northeast","New England","44",51814,1151,0.442,0.01,840,15,29,0.8,25,0.7,27.6,0.7,16.9,0.9,2006
"559","Rhode Island","RI","Northeast","New England","44",64340,2058,0.47,0.0101,998,28,28.9,1,20.8,0.6,23.2,0.6,14.1,0.7,2018
"560","Rhode Island","RI","Northeast","New England","44",55701,1791,0.46,0.014,850,20,29.7,0.8,24.7,0.5,27.3,0.6,15.8,1,2008
"561","South Carolina","SC","South","South Atlantic","45",49501,601,0.4735,0.005,841,9,29.5,0.5,16.6,0.3,20.5,0.3,10.3,0.3,2016
"562","South Carolina","SC","South","South Atlantic","45",56227,835,0.4747,0.0056,922,12,29,0.6,15.5,0.2,19.2,0.2,9,NA,2019
"563","South Carolina","SC","South","South Atlantic","45",42018,424,0.461,0.006,728,8,32.2,0.7,19.5,0.3,23.5,0.3,12,0.3,2010
"564","South Carolina","SC","South","South Atlantic","45",42442,565,0.462,0.005,706,9,30.8,0.9,19.1,0.2,23.1,0.3,11.4,0.3,2009
"565","South Carolina","SC","South","South Atlantic","45",42367,559,0.4648,0.0052,741,8,32.6,0.9,19.2,0.3,23.5,0.3,11.9,0.3,2011
"566","South Carolina","SC","South","South Atlantic","45",43329,635,0.459,0.005,645,9,28.3,0.5,19,0.2,22.7,0.3,11.1,0.3,2007
"567","South Carolina","SC","South","South Atlantic","45",50570,532,0.4795,0.0052,848,9,30.2,0.7,16,0.3,19.7,0.2,10,NA,2017
"568","South Carolina","SC","South","South Atlantic","45",43107,660,0.4684,0.0045,754,9,31.5,0.6,18.1,0.2,22.1,0.3,11.2,0.3,2012
"569","South Carolina","SC","South","South Atlantic","45",52306,631,0.4762,0.0058,892,12,29.5,0.6,16.4,0.3,20,0.3,10.2,0.3,2018
"570","South Carolina","SC","South","South Atlantic","45",45238,507,0.4687,0.0051,791,7,31,0.6,17.6,0.3,21.6,0.3,11,0.3,2014
"571","South Carolina","SC","South","South Atlantic","45",44625,633,0.464,0.006,675,9,28.7,0.6,18.5,0.2,22.6,0.3,10.5,0.3,2008
"572","South Carolina","SC","South","South Atlantic","45",44163,659,0.4665,0.0044,766,9,31,0.6,17.7,0.2,21.7,0.3,10.8,0.3,2013
"573","South Carolina","SC","South","South Atlantic","45",41100,431,0.462,0.006,640,7,28.7,0.6,19.3,0.2,22.9,0.3,11.6,0.3,2006
"574","South Carolina","SC","South","South Atlantic","45",47238,547,0.4698,0.005,819,9,29.8,0.6,17.1,0.2,20.9,0.3,10.7,0.3,2015
"575","South Dakota","SD","Midwest","West North Central","46",54467,1289,0.4495,0.0121,706,19,26,1,16.1,0.3,19.4,0.4,10.5,0.5,2016
"576","South Dakota","SD","Midwest","West North Central","46",50979,1027,0.4468,0.0102,647,14,25.6,1,16.6,0.4,20.2,0.6,11.1,0.4,2014
"577","South Dakota","SD","Midwest","West North Central","46",45904,1215,0.442,0.012,591,16,26.9,0.9,18,0.4,21.9,0.5,10.9,0.5,2010
"578","South Dakota","SD","Midwest","West North Central","46",48362,974,0.4335,0.0114,651,17,26,1,17.3,0.4,20.9,0.6,10.5,0.5,2012
"579","South Dakota","SD","Midwest","West North Central","46",42791,983,0.439,0.016,522,15,24.7,1.1,18.3,0.4,22.2,0.5,11.7,0.4,2006
"580","South Dakota","SD","Midwest","West North Central","46",59533,1949,0.436,0.0093,769,24,25.2,1.3,16.1,0.4,19.7,0.5,10.5,0.5,2019
"581","South Dakota","SD","Midwest","West North Central","46",56274,1454,0.4445,0.0131,734,14,26.3,1,16.5,0.4,19.9,0.5,11.1,0.4,2018
"582","South Dakota","SD","Midwest","West North Central","46",43424,944,0.423,0.009,526,20,25.9,1,18.4,0.4,22.1,0.5,12,0.4,2007
"583","South Dakota","SD","Midwest","West North Central","46",53017,1096,0.4436,0.0093,675,18,25.7,1,16.3,0.4,20,0.5,10.3,0.5,2015
"584","South Dakota","SD","Midwest","West North Central","46",56521,1314,0.4488,0.0135,722,18,25.7,1.3,15.9,0.4,19.5,0.4,10.2,0.5,2017
"585","South Dakota","SD","Midwest","West North Central","46",48321,1598,0.4324,0.0095,612,17,25.9,1,18.1,0.4,21.7,0.5,11.5,0.5,2011
"586","South Dakota","SD","Midwest","West North Central","46",46032,1172,0.446,0.012,569,15,24.9,0.9,18.4,0.4,22.5,0.6,11.2,0.5,2008
"587","South Dakota","SD","Midwest","West North Central","46",48947,1091,0.4427,0.0085,637,17,25.9,1,16.7,0.4,20.5,0.6,10.7,0.5,2013
"588","South Dakota","SD","Midwest","West North Central","46",45043,1214,0.452,0.015,562,14,26.6,1,17.9,0.4,22.2,0.4,11.1,0.5,2009
"589","Tennessee","TN","South","East South Central","47",42764,579,0.4732,0.0042,730,6,30.6,0.6,18.5,0.2,22.7,0.3,10.7,0.2,2012
"590","Tennessee","TN","South","East South Central","47",41461,403,0.468,0.004,697,5,31.4,0.6,19.4,0.2,23.7,0.3,11.4,0.2,2010
"591","Tennessee","TN","South","East South Central","47",52375,489,0.4778,0.0047,861,7,29.5,0.4,16.3,0.2,19.8,0.3,9,NA,2018
"592","Tennessee","TN","South","East South Central","47",42367,345,0.471,0.004,634,6,28.1,0.6,19,0.2,23.1,0.3,10.6,0.2,2007
"593","Tennessee","TN","South","East South Central","47",43614,425,0.471,0.005,660,7,29.1,0.5,19,0.2,23.2,0.2,10.6,0.2,2008
"594","Tennessee","TN","South","East South Central","47",41693,423,0.4756,0.0047,715,7,31.5,0.5,19.3,0.2,23.5,0.3,11.8,0.2,2011
"595","Tennessee","TN","South","East South Central","47",40315,425,0.468,0.004,613,7,29,0.5,19.1,0.2,23.1,0.3,11,0.3,2006
"596","Tennessee","TN","South","East South Central","47",44297,501,0.4783,0.0042,748,7,30.1,0.6,17.7,0.2,21.8,0.3,10.4,0.3,2013
"597","Tennessee","TN","South","East South Central","47",47275,489,0.4789,0.0046,785,6,29.3,0.4,17.1,0.1,20.9,0.2,10.2,0.2,2015
"598","Tennessee","TN","South","East South Central","47",56071,658,0.4749,0.0045,904,8,28.5,0.4,15.7,0.3,19.4,0.2,9,NA,2019
"599","Tennessee","TN","South","East South Central","47",51340,410,0.4822,0.005,833,9,28.3,0.4,16,0.2,19.7,0.2,10,NA,2017
"600","Tennessee","TN","South","East South Central","47",48547,675,0.479,0.004,806,8,28.9,0.4,16.7,0.2,20.3,0.3,10.1,0.2,2016
"601","Tennessee","TN","South","East South Central","47",41725,439,0.467,0.005,682,6,30.5,0.6,19.5,0.2,23.7,0.2,11.1,0.3,2009
"602","Tennessee","TN","South","East South Central","47",44361,561,0.4811,0.0045,770,7,30.5,0.6,17.7,0.1,21.8,0.2,10.8,0.2,2014
"603","Texas","TX","South","West South Central","48",50043,220,0.474,0.003,768,4,29,0.2,19.4,0.2,23,0.2,12.2,0.1,2008
"604","Texas","TX","South","West South Central","48",47548,308,0.473,0.002,734,4,28.9,0.2,19.7,0.1,23.3,0.1,12.7,0.2,2007
"605","Texas","TX","South","West South Central","48",49392,391,0.4771,0.0029,813,5,30,0.3,19.3,0.2,23,0.2,12.5,0.1,2011
"606","Texas","TX","South","West South Central","48",48259,244,0.474,0.003,788,5,29.8,0.3,19.3,0.2,23,0.2,12.2,0.2,2009
"607","Texas","TX","South","West South Central","48",44922,287,0.474,0.003,711,4,29.4,0.3,20.5,0.2,23.9,0.1,13.6,0.2,2006
"608","Texas","TX","South","West South Central","48",59206,490,0.4781,0.002,987,5,29.2,0.3,17.2,0.2,20.7,0.2,11.2,0.2,2017
"609","Texas","TX","South","West South Central","48",55653,314,0.4823,0.0021,932,5,28.9,0.3,17.4,0.1,21.1,0.2,11.4,0.2,2015
"610","Texas","TX","South","West South Central","48",64034,500,0.4753,0.0019,1091,5,29.2,0.3,17,0.2,20.9,0.2,11,0.1,2019
"611","Texas","TX","South","West South Central","48",48615,347,0.469,0.002,801,4,30.2,0.3,19.6,0.2,23.4,0.2,12.5,0.1,2010
"612","Texas","TX","South","West South Central","48",53035,377,0.4827,0.0021,896,4,29.5,0.2,17.7,0.2,21.4,0.2,11.7,0.2,2014
"613","Texas","TX","South","West South Central","48",51704,238,0.4807,0.0026,857,4,29,0.2,17.5,0.1,21.3,0.1,11.2,0.2,2013
"614","Texas","TX","South","West South Central","48",60629,279,0.4822,0.0022,1046,5,29.5,0.2,17.3,0.1,21.2,0.2,11.5,0.2,2018
"615","Texas","TX","South","West South Central","48",56565,300,0.48,0.0021,956,4,28.9,0.2,17.2,0.1,20.9,0.2,11.3,0.1,2016
"616","Texas","TX","South","West South Central","48",50740,267,0.4767,0.0021,831,4,29.2,0.3,18.4,0.2,22.1,0.2,11.8,0.1,2012
"617","Utah","UT","West","Mountain","49",68358,1229,0.4225,0.0072,986,15,27.6,0.7,17.9,0.2,21,0.3,10,NA,2017
"618","Utah","UT","West","Mountain","49",51309,573,0.41,0.007,697,10,28,0.7,21.2,0.4,24.2,0.3,9.7,0.3,2006
"619","Utah","UT","West","Mountain","49",56633,705,0.411,0.006,784,11,27,0.7,21.3,0.3,24.7,0.3,8.9,0.3,2008
"620","Utah","UT","West","Mountain","49",65977,955,0.4263,0.0069,954,14,27.9,0.6,17.9,0.3,21,0.3,10,NA,2016
"621","Utah","UT","West","Mountain","49",59770,762,0.4259,0.0057,881,12,28.7,0.6,19,0.3,22.6,0.3,10,NA,2013
"622","Utah","UT","West","Mountain","49",57049,737,0.4244,0.007,851,11,29.8,0.7,20.1,0.3,23.5,0.3,10,NA,2012
"623","Utah","UT","West","Mountain","49",55109,762,0.409,0.007,733,12,26.8,0.8,21,0.4,24.4,0.3,9.1,0.3,2007
"624","Utah","UT","West","Mountain","49",55869,805,0.4249,0.0069,822,12,30.7,1,21.1,0.3,24.5,0.3,10,NA,2011
"625","Utah","UT","West","Mountain","49",54744,625,0.419,0.007,796,12,29.5,0.8,21.4,0.3,24.8,0.3,10,NA,2010
"626","Utah","UT","West","Mountain","49",60922,658,0.4283,0.0054,886,13,28.4,0.7,18.8,0.3,22.2,0.3,10,NA,2014
"627","Utah","UT","West","Mountain","49",71414,741,0.4269,0.0064,1043,15,27.6,0.6,17.6,0.3,20.8,0.3,9,NA,2018
